Date,Open,High,Low,Close,Adj Close,Volume
2003-08-01,99.19000244140625,99.52999877929688,98.23999786376953,98.51000213623047,69.94090270996094,49321000
2003-08-04,98.30999755859375,99.0,97.0,98.51000213623047,69.94090270996094,55214100
2003-08-05,98.41000366210938,98.76000213623047,96.33999633789062,96.41999816894531,68.4570541381836,61415600
2003-08-06,96.69000244140625,98.05999755859375,96.41999816894531,96.9800033569336,68.85465240478516,50096900
2003-08-07,97.16999816894531,98.06999969482422,96.76000213623047,98.0,69.57882690429688,43427400
2003-08-08,98.31999969482422,98.55000305175781,97.76000213623047,98.27999877929688,69.77762603759766,27357300
2003-08-11,98.26000213623047,99.04000091552734,97.83999633789062,98.6500015258789,70.04032135009766,34631400
2003-08-12,98.70999908447266,99.58999633789062,98.41999816894531,99.55000305175781,70.67930603027344,43285600
2003-08-13,99.81999969482422,99.8499984741211,98.52999877929688,99.04000091552734,70.31719207763672,36152000
2003-08-14,99.0999984741211,99.75,98.44999694824219,99.30999755859375,70.5089340209961,35525100
2003-08-15,99.36000061035156,99.79000091552734,99.12000274658203,99.62000274658203,70.7290267944336,12567000
2003-08-18,99.93000030517578,100.5999984741211,99.73999786376953,100.4800033569336,71.3396224975586,22873800
2003-08-19,100.69000244140625,100.94000244140625,100.0,100.86000061035156,71.60939025878906,37437700
2003-08-20,100.29000091552734,100.88999938964844,100.16000366210938,100.44999694824219,71.31830596923828,21295300
2003-08-21,101.05000305175781,101.5199966430664,100.4000015258789,100.7699966430664,71.54549407958984,46494200
2003-08-22,101.75,101.81999969482422,99.7300033569336,99.7699966430664,70.83547973632812,52040300
2003-08-25,99.70999908447266,100.83000183105469,99.27999877929688,99.93000030517578,70.94913482666016,23473000
2003-08-26,99.5,100.38999938964844,98.83000183105469,100.11000061035156,71.07691192626953,45065800
2003-08-27,100.05000305175781,100.36000061035156,99.56999969482422,100.13999938964844,71.09819793701172,18919500
2003-08-28,100.4000015258789,101.0,99.66000366210938,100.76000213623047,71.53839111328125,27402400
2003-08-29,100.61000061035156,101.4800033569336,100.4800033569336,101.44000244140625,72.02119445800781,28706600
2003-09-02,101.63999938964844,102.87999725341797,101.05000305175781,102.80000305175781,72.98678588867188,49419100
2003-09-03,103.02999877929688,103.69999694824219,102.77999877929688,103.36000061035156,73.38435363769531,44912400
2003-09-04,103.0999984741211,103.55000305175781,102.76000213623047,103.41000366210938,73.41988372802734,28381000
2003-09-05,102.94000244140625,103.55000305175781,102.4000015258789,102.83000183105469,73.00807189941406,31637300
2003-09-08,103.04000091552734,103.87999725341797,102.93000030517578,103.68000030517578,73.611572265625,32632800
2003-09-09,103.37000274658203,103.45999908447266,102.68000030517578,103.0,73.12879180908203,35053200
2003-09-10,102.52999877929688,102.80000305175781,101.55000305175781,101.95999908447266,72.39037322998047,45904900
2003-09-11,102.0999984741211,102.76000213623047,101.83999633789062,102.26000213623047,72.60338592529297,38396300
2003-09-12,101.91000366210938,102.63999938964844,101.3499984741211,102.44999694824219,72.73828887939453,42524800
2003-09-15,102.5199966430664,102.62999725341797,101.94999694824219,102.08999633789062,72.48269653320312,21312800
2003-09-16,102.2300033569336,103.63999938964844,102.16999816894531,103.58000183105469,73.54058074951172,37892600
