Date,Unix,Ticker,Price,stock_p_change,SP500,SP500_p_change,Market Cap,Enterprise Value,Trailing P/E,Forward P/E,PEG Ratio,Price/Sales,Price/Book,Enterprise Value/Revenue,Enterprise Value/EBITDA,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue,Revenue Per Share,Quarterly Revenue Growth,Gross Profit,EBITDA,Net Income Avi to Common,Diluted EPS,Quarterly Earnings Growth,Total Cash,Total Cash Per Share,Total Debt,Total Debt/Equity,Current Ratio,Book Value Per Share,Operating Cash Flow,Levered Free Cash Flow,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Shares Outstanding,Float,% Held by Insiders,% Held by Institutions,Shares Short,Short Ratio,Short % of Float,Shares Short (prior month
0,0,ATI,0,0,0,0,,,,,,,,,,-11.82,4.5,1.76,-18.56,3340000000.0,26.44,-41.3,637800000.0,280800000.0,-395100000.0,-3.13,,572200000.0,4.51,1550000000.0,83.53,3.7,13.67,285100000.0,238480000.0,1.91,13.69,10.49,2510000.0,126820000.0,125650000.0,0.77,97.95,11490000.0,5.39,11.77,12110000.0
0,0,PX,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,CNX,0,0,0,0,2410000000.0,4990000000.0,,,,1.86,0.56,4.48,-10.05,-84.76,-50.68,-4.08,-18.22,1120000000.0,5.81,-25.6,1030000000.0,431090000.0,-950940000.0,-4.93,,150280000.0,0.67,2740000000.0,64.28,0.65,19.02,748810000.0,-24760000.0,1.64,9.72,10.06,4820000.0,224530000.0,222110000.0,2.18,92.43,16219999.999999998,3.88,10.95,19030000.0
0,0,NFX,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,NSC,0,0,0,0,58590000000.0,69960000000.0,29.73,20.58,2.76,6.02,3.92,7.06,16.42,20.27,34.82,5.7,13.31,9910000000.0,38.61,-11.8,5190000000.0,4600000000.0,2000000000.0,7.76,-13.4,1360000000.0,5.35,13000000000.0,87.03,1.29,58.83,3660000000.0,1720000000.0,1.41,233.74,207.5,1310000.0,253980000.0,253560000.0,0.12,75.97,2110000.0,1.47,0.83,1940000.0
0,0,STI,0,0,0,0,,,,,,,,,,,,,,,,,9010000000.0,,,,,,,,,,,,,,70.13,70.13,18920000.0,,,,,,,,
0,0,VALE,0,0,0,0,88390000000.0,96170000000.0,34.46,6.41,,2.49,2.56,2.73,15.34,9.07,0.0,7.52,6.79,,,42.4,64800000000.0,,,0.12,138.7,,,,61.16,1.64,6.71,,,0.89,13.74,11.72,32909999.999999996,5130000000.0,3950000000.0,0.0,19.52,113750000.0,3.15,,72790000.0
0,0,NWL,0,0,0,0,8700000000.0,14350000000.0,,11.92,,0.93,2.34,1.54,15.42,-1.11,9.43,3.57,-3.0,9320000000.0,21.99,5.1,3240000000.0,1270000000.0,-118900000.0,-0.25,,858000000.0,2.02,6510000000.0,173.52,1.51,8.78,1440000000.0,1670000000.0,1.05,20.16,17.49,2620000.0,424300000.0,420710000.0,0.8,89.21,7390000.0,2.2,2.6,9590000.0
0,0,DSW,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0,MAT,0,0,0,0,5550000000.0,8690000000.0,,28.01,,1.25,13.72,1.96,18.53,-0.08,7.56,3.76,-0.87,4430000000.0,12.78,10.1,2000000000.0,542760000.0,-3740000.0,-0.01,347.6,452170000.0,1.3,3590000000.0,887.46,1.57,1.16,260660000.00000003,236040000.0,1.37,15.12,12.15,4500000.0,348040000.0,346660000.0,0.29,99.14,9610000.0,2.58,5.31,13440000.0
0,0,NYX,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
